freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,cluster_id
8623.99,2225.65,43.44,254.48,-50.48,1557.53,0
8623.92,4888.0,43.44,255.13,-50.71,3783.18,1
8624.05,5754.21,43.44,254.87,-48.81,8671.17,2
8623.93,2225.65,43.44,254.38,-48.03,14425.38,0
8622.96,4888.0,43.44,256.03,-49.17,16651.03,1
8623.43,5754.21,43.44,256.04,-49.57,21539.03,2
8623.78,2225.65,43.44,253.75,-49.38,27293.24,0
8623.63,4888.0,43.44,253.53,-50.3,29518.88,1
8623.75,5754.21,43.44,254.97,-50.12,34406.88,2
8624.58,2225.65,43.44,255.6,-50.12,40161.09,0
8623.52,4888.0,43.44,256.09,-49.16,42386.73,1
8625.31,5754.21,43.44,255.17,-48.3,47274.73,2
8624.21,2225.65,43.44,254.99,-51.45,53028.94,0
8624.34,4888.0,43.44,254.06,-50.46,55254.59,1
8623.96,5754.21,43.44,254.63,-51.51,60142.58,2
8623.58,2225.65,43.44,255.84,-49.27,65896.79,0
8624.33,4888.0,43.44,255.08,-49.28,68122.44,1
8624.1,5754.21,43.44,254.74,-48.78,73010.43,2
8623.86,2225.65,43.44,254.14,-48.73,78764.65,0
8624.59,4888.0,43.44,253.33,-49.31,80990.29,1
11420.22,2480.66,17.75,32.87,-75.66,195668.32,5
10814.01,2480.66,17.75,35.53,-76.84,198148.98,3
9896.48,2480.66,17.75,34.03,-73.97,200629.64,4
11421.12,2480.66,17.75,35.06,-75.4,203110.3,5
10814.14,2480.66,17.75,34.36,-75.21,205590.96,3
9896.4,2480.66,17.75,33.97,-75.8,208071.61,4
11421.9,2480.66,17.75,34.56,-73.82,210552.27,5
10814.01,2480.66,17.75,36.03,-77.36,213032.93,3
9896.62,2480.66,17.75,34.48,-75.13,215513.59,4
11421.53,2480.66,17.75,33.69,-75.9,217994.25,5
10814.34,2480.66,17.75,34.75,-75.05,220474.91,3
9896.35,2480.66,17.75,34.8,-75.1,222955.57,4
11422.25,2480.66,17.75,34.53,-76.24,225436.22,5
10814.35,2480.66,17.75,34.64,-74.8,227916.88,3
9896.68,2480.66,17.75,34.01,-74.13,230397.54,4
11421.55,2480.66,17.75,34.44,-75.61,232878.2,5
10814.52,2480.66,17.75,35.0,-74.58,235358.86,3
9897.1,2480.66,17.75,35.2,-75.39,237839.52,4
11422.18,2480.66,17.75,33.59,-75.09,240320.18,5
10814.57,2480.66,17.75,33.99,-74.81,242800.83,3
9882.17,5933.69,20.54,287.49,-39.59,301435.09,6
9881.63,5933.69,20.54,288.12,-40.13,307368.78,6
9880.93,5933.69,20.54,288.5,-38.75,313302.47,6
9879.97,5933.69,20.54,287.89,-38.25,319236.17,6
9880.78,5933.69,20.54,288.08,-37.31,325169.86,6
9881.4,5933.69,20.54,286.78,-39.7,331103.55,6
9881.21,5933.69,20.54,287.78,-39.12,337037.24,6
9881.45,5933.69,20.54,287.26,-39.0,342970.94,6
9881.68,5933.69,20.54,286.34,-39.07,348904.63,6
9881.26,5933.69,20.54,288.32,-39.41,354838.32,6
10148.68,3840.48,29.65,252.83,-59.94,360134.54,7
9881.53,5933.69,20.54,288.51,-41.03,360772.01,6
10149.59,3840.48,29.65,251.24,-59.63,363975.02,7
9881.79,5933.69,20.54,286.42,-40.27,366705.71,6
10149.36,3840.48,29.65,250.63,-61.27,367815.5,7
10148.4,3840.48,29.65,251.21,-60.47,371655.97,7
9879.76,5933.69,20.54,286.6,-39.18,372639.4,6
10147.98,3840.48,29.65,251.67,-61.2,375496.45,7
9881.01,5933.69,20.54,286.94,-40.29,378573.09,6
10148.47,3840.48,29.65,251.12,-60.89,379336.93,7
10149.11,3840.48,29.65,253.13,-60.36,383177.4,7
9881.64,5933.69,20.54,288.36,-38.76,384506.78,6
10148.52,3840.48,29.65,251.34,-60.76,387017.88,7
9880.26,5933.69,20.54,289.68,-39.03,390440.48,6
10149.07,3840.48,29.65,251.48,-60.02,390858.36,7
10149.08,3840.48,29.65,251.35,-58.39,394698.83,7
9881.47,5933.69,20.54,285.91,-39.19,396374.17,6
10148.93,3840.48,29.65,251.29,-59.12,398539.31,7
9881.41,5933.69,20.54,287.26,-38.31,402307.86,6
10149.29,3840.48,29.65,250.8,-59.08,402379.79,7
10148.62,3840.48,29.65,250.93,-60.76,406220.26,7
9881.85,5933.69,20.54,286.06,-38.33,408241.55,6
10149.34,3840.48,29.65,252.35,-59.76,410060.74,7
10149.09,3840.48,29.65,250.29,-60.69,413901.22,7
9881.4,5933.69,20.54,287.4,-40.75,414175.25,6
10148.46,3840.48,29.65,248.98,-60.38,417741.69,7
10148.9,3840.48,29.65,253.33,-58.42,421582.17,7
10149.33,3840.48,29.65,253.24,-58.59,425422.65,7
10148.05,3840.48,29.65,252.23,-59.27,429263.12,7
10148.91,3840.48,29.65,249.75,-59.39,433103.6,7
10244.67,3531.71,48.61,260.16,-38.94,471969.84,8
10244.83,3531.71,48.61,259.76,-36.59,475501.55,8
10245.87,3531.71,48.61,260.4,-37.26,479033.25,8
10244.46,3531.71,48.61,258.4,-37.36,482564.96,8
10245.04,3531.71,48.61,260.43,-36.85,486096.67,8
10245.15,3531.71,48.61,258.36,-36.66,489628.38,8
10244.92,3531.71,48.61,258.87,-37.97,493160.08,8
10244.27,3531.71,48.61,259.48,-36.8,496691.79,8
10244.81,3531.71,48.61,258.96,-37.81,500223.5,8
10245.2,3531.71,48.61,258.47,-38.57,503755.21,8
10245.04,3531.71,48.61,258.57,-35.61,507286.91,8
10244.9,3531.71,48.61,258.92,-38.37,510818.62,8
10244.73,3531.71,48.61,259.25,-39.65,514350.33,8
10245.61,3531.71,48.61,259.81,-37.58,517882.04,8
10245.38,3531.71,48.61,258.77,-38.31,521413.74,8
10245.2,3531.71,48.61,259.76,-37.21,524945.45,8
10244.93,3531.71,48.61,259.58,-36.12,528477.16,8
10245.51,3531.71,48.61,257.32,-36.07,532008.87,8
10246.05,3531.71,48.61,261.05,-37.77,535540.57,8
10244.63,3531.71,48.61,260.55,-38.17,539072.28,8
10288.18,5074.22,3.14,169.69,-30.4,559120.68,9
10288.19,5074.22,3.14,171.3,-28.73,564194.9,9
10287.54,5074.22,3.14,168.58,-30.38,569269.12,9
10287.14,5074.22,3.14,167.84,-31.89,574343.33,9
10287.44,5074.22,3.14,170.57,-31.13,579417.55,9
10287.5,5074.22,3.14,170.06,-30.72,584491.76,9
10288.23,5074.22,3.14,168.45,-32.07,589565.98,9
10288.25,5074.22,3.14,167.63,-30.78,594640.2,9
10287.65,5074.22,3.14,169.38,-30.83,599714.41,9
10287.95,5074.22,3.14,167.62,-28.27,604788.63,9
10287.42,5074.22,3.14,170.38,-30.12,609862.84,9
10288.09,5074.22,3.14,169.53,-32.15,614937.06,9
10288.5,5074.22,3.14,168.67,-29.06,620011.28,9
10287.94,5074.22,3.14,168.81,-31.56,625085.49,9
10287.63,5074.22,3.14,169.6,-31.58,630159.71,9
10287.02,5074.22,3.14,168.32,-29.43,635233.92,9
10288.91,5074.22,3.14,168.5,-31.82,640308.14,9
10287.85,5074.22,3.14,169.36,-29.69,645382.36,9
10289.08,5074.22,3.14,169.41,-28.62,650456.57,9
10287.79,5074.22,3.14,169.27,-30.87,655530.79,9
9993.59,3321.39,46.75,81.08,-79.45,730713.64,10
9993.44,3321.39,46.75,81.11,-79.17,734035.03,10
9993.4,3321.39,46.75,81.69,-79.34,737356.43,10
9993.88,3321.39,46.75,82.36,-79.71,740677.82,10
9992.54,3321.39,46.75,81.76,-79.41,743999.22,10
9993.85,3321.39,46.75,82.11,-78.86,747320.61,10
9993.0,3321.39,46.75,80.24,-79.82,750642.0,10
9993.23,3321.39,46.75,79.39,-78.38,753963.4,10
9994.02,3321.39,46.75,79.17,-81.02,757284.79,10
9993.11,3321.39,46.75,80.54,-79.36,760606.18,10
9992.95,3321.39,46.75,80.1,-78.33,763927.58,10
9993.22,3321.39,46.75,80.56,-78.12,767248.97,10
9992.74,3321.39,46.75,79.88,-79.44,770570.37,10
9993.17,3321.39,46.75,81.65,-78.93,773891.76,10
9993.25,3321.39,46.75,81.6,-80.2,777213.15,10
9992.65,3321.39,46.75,81.86,-79.38,780534.55,10
9993.4,3321.39,46.75,79.41,-80.12,783855.94,10
9993.94,3321.39,46.75,81.67,-79.33,787177.34,10
9993.34,3321.39,46.75,83.33,-77.63,790498.73,10
9992.2,3321.39,46.75,79.91,-81.24,793820.12,10
9238.18,5762.13,34.55,328.97,-72.18,1162325.24,11
9237.53,3666.56,34.55,327.83,-70.34,1168087.37,12
9237.8,5762.13,34.55,329.37,-71.61,1171753.93,11
9238.73,3666.56,34.55,328.15,-72.35,1177516.05,12
9238.93,5762.13,34.55,328.16,-71.7,1181182.61,11
9238.51,3666.56,34.55,328.86,-71.06,1186944.74,12
9237.44,5762.13,34.55,327.3,-72.53,1190611.29,11
9237.72,3666.56,34.55,327.06,-72.54,1196373.42,12
9238.28,5762.13,34.55,328.43,-71.87,1200039.98,11
9237.9,3666.56,34.55,329.21,-71.96,1205802.1,12
9238.58,5762.13,34.55,327.36,-71.46,1209468.66,11
9238.78,3666.56,34.55,325.32,-72.52,1215230.79,-1
9238.41,5762.13,34.55,329.15,-71.67,1218897.34,11
9238.14,3666.56,34.55,329.54,-70.6,1224659.47,12
9237.68,5762.13,34.55,328.05,-71.51,1228326.03,11
9238.97,3666.56,34.55,328.8,-71.97,1234088.15,12
9238.22,5762.13,34.55,326.05,-70.9,1237754.71,11
10511.32,2266.48,12.22,155.43,-53.34,1240145.51,-1
9339.82,2266.48,12.22,154.26,-53.67,1242411.99,15
9238.43,3666.56,34.55,329.15,-72.01,1243516.84,12
8557.84,2266.48,12.22,155.75,-53.21,1244678.46,13
11176.52,2266.48,12.22,156.64,-53.3,1246944.94,14
9238.17,5762.13,34.55,327.45,-73.02,1247183.39,11
10510.62,2266.48,12.22,154.8,-51.89,1249211.42,-1
9340.11,2266.48,12.22,156.74,-51.85,1251477.89,15
9237.81,3666.56,34.55,326.11,-70.95,1252945.52,-1
8556.27,2266.48,12.22,155.63,-53.92,1253744.37,13
11175.84,2266.48,12.22,155.52,-52.02,1256010.85,14
10510.39,2266.48,12.22,153.03,-52.68,1258277.32,-1
9340.94,2266.48,12.22,155.15,-52.81,1260543.8,15
8557.98,2266.48,12.22,155.94,-52.64,1262810.28,13
11176.32,2266.48,12.22,155.6,-54.0,1265076.75,14
10510.16,2266.48,12.22,157.24,-52.67,1267343.23,-1
9339.67,2266.48,12.22,155.26,-52.08,1269609.71,15
8558.36,2266.48,12.22,155.87,-53.45,1271876.18,13
11176.03,2266.48,12.22,156.42,-53.44,1274142.66,14
10511.26,2266.48,12.22,153.03,-53.09,1276409.14,-1
9339.94,2266.48,12.22,156.62,-53.68,1278675.61,15
8556.34,2266.48,12.22,155.09,-53.98,1280942.09,13
11176.03,2266.48,12.22,155.34,-54.18,1283208.56,14
10527.66,3793.78,15.37,242.73,-63.58,1504749.06,16
10526.9,3793.78,15.37,242.18,-64.24,1508542.84,16
10527.84,3793.78,15.37,241.96,-64.39,1512336.62,16
10527.19,3793.78,15.37,242.52,-64.13,1516130.41,16
10526.94,3793.78,15.37,242.35,-63.32,1519924.19,16
10527.1,3793.78,15.37,241.64,-63.33,1523717.97,16
10526.62,3793.78,15.37,240.7,-64.29,1527511.75,16
10527.24,3793.78,15.37,242.42,-62.09,1531305.53,16
10527.78,3793.78,15.37,241.95,-63.59,1535099.32,16
10526.85,3793.78,15.37,242.09,-63.86,1538893.1,16
10527.51,3793.78,15.37,241.28,-63.05,1542686.88,16
10528.12,3793.78,15.37,242.0,-63.17,1546480.66,16
10527.69,3793.78,15.37,241.71,-63.34,1550274.44,16
10527.36,3793.78,15.37,242.2,-64.34,1554068.23,16
10527.36,3793.78,15.37,242.6,-62.12,1557862.01,16
10527.83,3793.78,15.37,244.26,-64.33,1561655.79,16
10527.79,3793.78,15.37,242.29,-61.38,1565449.57,16
10526.94,3793.78,15.37,241.27,-64.17,1569243.35,16
10526.29,3793.78,15.37,241.58,-64.33,1573037.14,16
10527.42,3793.78,15.37,242.45,-61.69,1576830.92,16
